"ConstituencyCode","Constituency","CandidateCode","Candidate","Votes","Uncontested","elected","VotesN","Year"
"Q18","YAN YING","1","YEUNG HO CHUEN(HARRIS)","1,007",FALSE,FALSE,1007,2015
"Q18","YAN YING","2","CHUNG KAM LUN(BEN)","3,283*",FALSE,TRUE,3283,2015
"Q18","YAN YING","3","LIU TSZ CHUNG MICHAEL","1,229",FALSE,FALSE,1229,2015
"Q19","WAN HANG","1","SUN WAI KEI","2,313",FALSE,FALSE,2313,2015
"Q19","WAN HANG","2","FAN GARY KWOK WAI","3,104*",FALSE,TRUE,3104,2015
"Q19","WAN HANG","3","LAI TZE WAH","117",FALSE,FALSE,117,2015
"Q20","KING LAM","1","WAN KAI MING","2,878*",FALSE,TRUE,2878,2015
"Q20","KING LAM","2","LAM WING YIN","2,707",FALSE,FALSE,2707,2015
"Q21","HAU TAK","1","LING MAN HOI","2,679*",FALSE,TRUE,2679,2015
"Q21","HAU TAK","2","TSANG HO MAN","2,261",FALSE,FALSE,2261,2015
"Q22","FU NAM","1","CHAN YIU MING","2,113",FALSE,FALSE,2113,2015
"Q22","FU NAM","2","CHAN POK CHI","2,207*",FALSE,TRUE,2207,2015
"Q23","TAK MING","*","WAN YUET CHEUNG","Uncontested",TRUE,TRUE,0,2015
"Q24","SHEUNG TAK","1","CHOI KIN CHING(CHOI CHUN HIU)","650",FALSE,FALSE,650,2015
"Q24","SHEUNG TAK","2","KAN SIU KEI","2,978*",FALSE,TRUE,2978,2015
"Q24","SHEUNG TAK","3","WONG FAI","1,662",FALSE,FALSE,1662,2015
"Q25","KWONG MING","1","SHI HAU KIT SIMON","777",FALSE,FALSE,777,2015
"Q25","KWONG MING","2","CHOI MING HEI","1,055",FALSE,FALSE,1055,2015
"Q25","KWONG MING","3","CHONG YUEN TUNG","3,373*",FALSE,TRUE,3373,2015
"Q26","WAN PO NORTH","1","CHUI TING PONG","665",FALSE,FALSE,665,2015
"Q26","WAN PO NORTH","2","FONG KWOK SHAN CHRISTINE","2,667*",FALSE,TRUE,2667,2015
"Q27","WAN PO SOUTH","1","CHEUNG MEI HUNG","2,188*",FALSE,TRUE,2188,2015
"Q27","WAN PO SOUTH","2","WU CHEUK HIM","539",FALSE,FALSE,539,2015
"R01","SHA TIN TOWN CENTRE","1","WONG CHI YUNG(ALF WONG)","1,328",FALSE,FALSE,1328,2015
"R01","SHA TIN TOWN CENTRE","2","WAI HING CHEUNG","2,759*",FALSE,TRUE,2759,2015
"R02","LEK YUEN","1","WONG YUE HON","1,799*",FALSE,TRUE,1799,2015
"R02","LEK YUEN","2","WONG HO MING","1,406",FALSE,FALSE,1406,2015
"R03","WO CHE ESTATE","1","YUE SHIN MAN ANNA(ANNA)","2,495*",FALSE,TRUE,2495,2015
"R03","WO CHE ESTATE","2","LEE WAI FUNG(DECO)","1,602",FALSE,FALSE,1602,2015
"R03","WO CHE ESTATE","3","LEE TAK WAH","1,185",FALSE,FALSE,1185,2015
"R04","CITY ONE","*","WONG KA WING","Uncontested",TRUE,TRUE,0,2015
"R05","YUE SHING","*","LEUNG KA FAI","Uncontested",TRUE,TRUE,0,2015
"R06","WONG UK","1","LEUNG CHI WAI","1,936",FALSE,FALSE,1936,2015
"R06","WONG UK","2","LAI TSZ YAN","2,111*",FALSE,TRUE,2111,2015
"R07","SHA KOK","1","CHAN BILLY SHIU YEUNG","2,627*",FALSE,TRUE,2627,2015
"R07","SHA KOK","2","YEUNG SIN HUNG","2,437",FALSE,FALSE,2437,2015
"R08","POK HONG","1","CHIU CHU PONG","2,859*",FALSE,TRUE,2859,2015
