ConstituencyCode,CandidateCode,Key,Constituency,Candidate,Gender,Occupation,Politics,CandidateAlias,Uncontested,elected,VotesN,Year,Constituency_ZH,Politics_ZH,Candidate_ZH,Camp
F03,1,F03_1,NAM CHEONG NORTH,CHENG WING SHUN VINCENT,M,Deputy Executive Director/District Councilor,DAB,CHENG WING SHUN VINCENT,FALSE,TRUE,1461,2015,南昌北,民建聯,鄭泳舜,B
F03,2,F03_2,NAM CHEONG NORTH,CHAN WING FAI JORDAN,M,Technician,People Power,CHAN WING FAI JORDAN,FALSE,FALSE,796,2015,南昌北,人民力量,陳永輝,D
F04,1,F04_1,SHEK KIP MEI,CHAN KWOK WAI,M,,,CHAN KWOK WAI,FALSE,TRUE,2847,2015,石硤尾,西九新動力,陳國偉,B
F04,2,F04_2,SHEK KIP MEI,TSUNG PO SHAN,M,District Council Member,ADPL,TSUNG PO SHAN,FALSE,FALSE,2088,2015,石硤尾,民協,秦寶山,D
F05,1,F05_1,NAM CHEONG EAST,HO KAI MING KALVIN,M,,ADPL,HO KAI MING KALVIN,FALSE,TRUE,1727,2015,南昌東,民協,何啟明,D
F05,2,F05_2,NAM CHEONG EAST,MIU HOI MING,M,,DAB,MIU HOI MING,FALSE,FALSE,1287,2015,南昌東,民建聯,苗凱明,B
F06,1,F06_1,NAM CHEONG SOUTH,LAM WAI TONG,M,,,LAM WAI TONG,FALSE,FALSE,786,2015,南昌南,神州青年服務社,林偉棠,U
F06,2,F06_2,NAM CHEONG SOUTH,LEE WING MAN,M,District Councillor,The Federation of Hong Kong & Kowloon Labour Unions,LEE WING MAN,FALSE,TRUE,1544,2015,南昌南,港九勞工社團,李詠民,B
F07,1,F07_1,NAM CHEONG CENTRAL,LAU PUI YUK,F,District Councillor/Assistant Co-ordinator,DAB,LAU PUI YUK,FALSE,TRUE,1284,2015,南昌中,民建聯,劉佩玉,B
F07,2,F07_2,NAM CHEONG CENTRAL,MAK WAI MING,M,,Independent,MAK WAI MING,FALSE,FALSE,538,2015,南昌中,獨立,麥偉明,D
F08,1,F08_1,NAM CHEONG WEST,HEUNG MING HAU,M,Community Officer,Independent Candidate,HEUNG MING HAU,FALSE,FALSE,1217,2015,南昌西,九龍社團,香明孝,B
F08,2,F08_2,NAM CHEONG WEST,WAI WOON NAM,M,,ADPL,WAI WOON NAM,FALSE,TRUE,1873,2015,南昌西,民協,?煥南,D
F09,1,F09_1,FU CHEONG,LI KWING,M,Social Worker,ADPL,LI KWING,FALSE,FALSE,2130,2015,富昌,民協,李炯,D
F09,2,F09_2,FU CHEONG,LEUNG MAN KWONG,M,Full Time District Councillor,,LEUNG MAN KWONG,FALSE,TRUE,2973,2015,富昌,西九新動力,梁文廣,B
F10,1,F10_1,LAI KOK,CHAN WING YAN,F,,DAB/FTU,CHAN WING YAN,FALSE,TRUE,2531,2015,麗閣,民建聯,陳穎欣,B
F10,2,F10_2,LAI KOK,WONG CHUNG KI ERIC,M,Management in IT Co.,,WONG CHUNG KI ERIC,FALSE,FALSE,215,2015,麗閣,獨立,黃仲棋,U
F10,3,F10_3,LAI KOK,FUNG KIN KEE FREDERICK,M,Legislative Councilor,ADPL,FUNG KIN KEE FREDERICK,FALSE,FALSE,2432,2015,麗閣,民協,馮檢基,D
F11,1,F11_1,FORTUNE,CHEUNG TAK WAI,M,Community Organizer,DAB,CHEUNG TAK WAI,FALSE,FALSE,1898,2015,幸福,民建聯,張德偉,B
F11,2,F11_2,FORTUNE,CHOW WING HENG,F,Community Officer,ADPL,CHOW WING HENG(ZOE),FALSE,TRUE,2137,2015,幸福,民協,鄒穎恒,D
F12,1,F12_1,LAI CHI KOK SOUTH,YEUNG YUK,M,Registered Social Worker,ADPL,YEUNG YUK,FALSE,TRUE,3477,2015,荔枝角南,民協,楊彧,D
F12,2,F12_2,LAI CHI KOK SOUTH,TAN WIE HON DERRICK,M,,DAB,TAN WIE HON DERRICK,FALSE,FALSE,1191,2015,荔枝角南,民建聯,陳威雄,B
F12,3,F12_3,LAI CHI KOK SOUTH,MUI YU,M,,,MUI YU,FALSE,FALSE,94,2015,荔枝角南,獨立,梅宇,U
