"ConstituencyCode","Constituency","CandidateCode","CandidateAlias","Votes","Uncontested","elected","VotesN","Year","Key","Candidate"
"L06","YAU OI NORTH","3","LAM LAP","92",FALSE,FALSE,92,2015,"L06_3","LAM LAP"
"L07","TSUI HING","*","CHU YIU WAH","Uncontested",TRUE,TRUE,0,2015,"L07_*","CHU YIU WAH"
"L08","SHAN KING","1","NG KOON HUNG","1,853*",FALSE,TRUE,1853,2015,"L08_1","NG KOON HUNG"
"L08","SHAN KING","2","HON LAI YIN","1,605",FALSE,FALSE,1605,2015,"L08_2","HON LAI YIN"
"L09","KING HING","*","CHAN YAU HOI","Uncontested",TRUE,TRUE,0,2015,"L09_*","CHAN YAU HOI"
"L10","HING TSAK","1","CHAN SZE NGA","1,498",FALSE,FALSE,1498,2015,"L10_1","CHAN SZE NGA"
"L10","HING TSAK","2","TSUI FAN","2,673*",FALSE,TRUE,2673,2015,"L10_2","TSUI FAN"
"L11","SAN HUI","1","HO HAU CHUN","742",FALSE,FALSE,742,2015,"L11_1","HO HAU CHUN"
"L11","SAN HUI","2","HUI CHEUK HO","631",FALSE,FALSE,631,2015,"L11_2","HUI CHEUK HO"
"L11","SAN HUI","3","KWU HON KEUNG","1,099*",FALSE,TRUE,1099,2015,"L11_3","KWU HON KEUNG"
"L12","SAM SHING","1","LEE KAM TIM","892",FALSE,FALSE,892,2015,"L12_1","LEE KAM TIM"
"L12","SAM SHING","2","SO SHIU SHING","1,837*",FALSE,TRUE,1837,2015,"L12_2","SO SHIU SHING"
"L13","HANFORD","1","CHU SHUN NGA BEATRICE","2,597*",FALSE,TRUE,2597,2015,"L13_1","CHU SHUN NGA BEATRICE"
"L13","HANFORD","2","NGAI KA HO","1,021",FALSE,FALSE,1021,2015,"L13_2","NGAI KA HO"
"L13","HANFORD","3","WONG CHAK WAH","96",FALSE,FALSE,96,2015,"L13_3","WONG CHAK WAH"
"L13","HANFORD","4","LI KWAI FONG","697",FALSE,FALSE,697,2015,"L13_4","LI KWAI FONG"
"L14","FU SUN","1","LUNG KANG SAN","676",FALSE,FALSE,676,2015,"L14_1","LUNG KANG SAN"
"L14","FU SUN","2","LI SAI KEUNG","179",FALSE,FALSE,179,2015,"L14_2","LI SAI KEUNG"
"L14","FU SUN","3","TAI YIN CHIU(THOMAS)","445",FALSE,FALSE,445,2015,"L14_3","TAI YIN CHIU"
"L14","FU SUN","4","CHEUNG WAI KAU","920",FALSE,FALSE,920,2015,"L14_4","CHEUNG WAI KAU"
"L14","FU SUN","5","KAM MAN FUNG","2,493*",FALSE,TRUE,2493,2015,"L14_5","KAM MAN FUNG"
"L14","FU SUN","6","HO YING SANG(CHRIS)","172",FALSE,FALSE,172,2015,"L14_6","HO YING SANG"
"L15","YUET WU","1","CHEUNG HANG FAI","2,073*",FALSE,TRUE,2073,2015,"L15_1","CHEUNG HANG FAI"
"L15","YUET WU","2","YIP LAI MEI NATALIE","1,682",FALSE,FALSE,1682,2015,"L15_2","YIP LAI MEI NATALIE"
"L16","SIU HEI","1","HAU KWOK TUNG","1,488",FALSE,FALSE,1488,2015,"L16_1","HAU KWOK TUNG"
"L16","SIU HEI","2","YAN SIU NAM","2,021*",FALSE,TRUE,2021,2015,"L16_2","YAN SIU NAM"
"L17","WU KING","1","LEUNG KIN MAN","1,454*",FALSE,TRUE,1454,2015,"L17_1","LEUNG KIN MAN"
"L17","WU KING","2","CHOW KAI LIM","1,049",FALSE,FALSE,1049,2015,"L17_2","CHOW KAI LIM"
"L18","BUTTERFLY","1","YEUNG CHI HANG","2,505*",FALSE,TRUE,2505,2015,"L18_1","YEUNG CHI HANG"
"L18","BUTTERFLY","2","SO OI KWAN","1,949",FALSE,FALSE,1949,2015,"L18_2","SO OI KWAN"
"L19","LOK TSUI","1","HO KWAN YIU","2,013*",FALSE,TRUE,2013,2015,"L19_1","HO KWAN YIU"
"L19","LOK TSUI","2","YUEN WAI CHUNG","99",FALSE,FALSE,99,2015,"L19_2","YUEN WAI CHUNG"
"L19","LOK TSUI","3","CHENG CHUNG TAI","391",FALSE,FALSE,391,2015,"L19_3","CHENG CHUNG TAI"
"L19","LOK TSUI","4","CHEUNG WING WAI","25",FALSE,FALSE,25,2015,"L19_4","CHEUNG WING WAI"
"L19","LOK TSUI","5","SHUM KAM TIM","94",FALSE,FALSE,94,2015,"L19_5","SHUM KAM TIM"
"L19","LOK TSUI","6","HO CHUN YAN","1,736",FALSE,FALSE,1736,2015,"L19_6","HO CHUN YAN"
"L20","LUNG MUN","*","LUNG SHUI HING","Uncontested",TRUE,TRUE,0,2015,"L20_*","LUNG SHUI HING"
"L21","SAN KING","1","LEE FUNG SIM","1,243",FALSE,FALSE,1243,2015,"L21_1","LEE FUNG SIM"
"L21","SAN KING","2","WONG LAI SHEUNG CATHERINE","2,686*",FALSE,TRUE,2686,2015,"L21_2","WONG LAI SHEUNG CATHERINE"
"L22","LEUNG KING","1","CHING CHI HUNG","2,366*",FALSE,TRUE,2366,2015,"L22_1","CHING CHI HUNG"
"L22","LEUNG KING","2","KWUN TUNG WING","1,290",FALSE,FALSE,1290,2015,"L22_2","KWUN TUNG WING"
"L23","TIN KING","1","LEE HUNG SHAM LOTHAR","2,295*",FALSE,TRUE,2295,2015,"L23_1","LEE HUNG SHAM LOTHAR"
"L23","TIN KING","2","CHIU KIM LING","1,321",FALSE,FALSE,1321,2015,"L23_2","CHIU KIM LING"
"L24","PO TIN","1","SO KA MAN","2,516*",FALSE,TRUE,2516,2015,"L24_1","SO KA MAN"
"L24","PO TIN","2","CHU SIU HUNG","402",FALSE,FALSE,402,2015,"L24_2","CHU SIU HUNG"
"L25","KIN SANG","1","LAM TSZ CHING","1,283",FALSE,FALSE,1283,2015,"L25_1","LAM TSZ CHING"
"L25","KIN SANG","2","CHAN MAN WAH","2,456*",FALSE,TRUE,2456,2015,"L25_2","CHAN MAN WAH"
"L26","SIU HONG","1","MO SHING FUNG","2,677*",FALSE,TRUE,2677,2015,"L26_1","MO SHING FUNG"
"L26","SIU HONG","2","LAW HO YAN","80",FALSE,FALSE,80,2015,"L26_2","LAW HO YAN"
"L26","SIU HONG","3","CHAN SHU YING JOSEPHINE","2,267",FALSE,FALSE,2267,2015,"L26_3","CHAN SHU YING JOSEPHINE"
"L27","PRIME VIEW","1","HO HANG MUI","2,970*",FALSE,TRUE,2970,2015,"L27_1","HO HANG MUI"
"L27","PRIME VIEW","2","KWONG MAN TIK","1,126",FALSE,FALSE,1126,2015,"L27_2","KWONG MAN TIK"
"L28","FU TAI","1","CHAN MANWELL","2,823*",FALSE,TRUE,2823,2015,"L28_1","CHAN MANWELL"
"L28","FU TAI","2","HO WAI CHEUNG","1,044",FALSE,FALSE,1044,2015,"L28_2","HO WAI CHEUNG"
"L29","TUEN MUN RURAL","1","TANG TAK SUM","728",FALSE,FALSE,728,2015,"L29_1","TANG TAK SUM"
"L29","TUEN MUN RURAL","2","TO SHECK YUEN","1,644*",FALSE,TRUE,1644,2015,"L29_2","TO SHECK YUEN"
"M01","FUNG NIN","1","LUI KIN","2,179*",FALSE,TRUE,2179,2015,"M01_1","LUI KIN"
"M01","FUNG NIN","2","WONG KWOK HUNG","1,227",FALSE,FALSE,1227,2015,"M01_2","WONG KWOK HUNG"
"M02","SHUI PIN","*","YUEN MAN YEE","Uncontested",TRUE,TRUE,0,2015,"M02_*","YUEN MAN YEE"
"M03","NAM PING","1","WONG WAI YIN ZACHARY","2,598*",FALSE,TRUE,2598,2015,"M03_1","WONG WAI YIN ZACHARY"
"M03","NAM PING","2","CHEUNG FAN LAN","1,249",FALSE,FALSE,1249,2015,"M03_2","CHEUNG FAN LAN"
"M03","NAM PING","3","CHAN WAI YI","246",FALSE,FALSE,246,2015,"M03_3","CHAN WAI YI"
"M04","PEK LONG","1","WONG YUK CHUN","2,013",FALSE,FALSE,2013,2015,"M04_1","WONG YUK CHUN"
"M04","PEK LONG","2","KWONG CHUN YU","2,890*",FALSE,TRUE,2890,2015,"M04_2","KWONG CHUN YU"
"M05","YUEN LONG CENTRE","1","LAM TING WAI","1,049",FALSE,FALSE,1049,2015,"M05_1","LAM TING WAI"
"M05","YUEN LONG CENTRE","2","SIU LONG MING","1,615*",FALSE,TRUE,1615,2015,"M05_2","SIU LONG MING"
"M06","YUEN LUNG","1","WONG WAI SHUN","2,651*",FALSE,TRUE,2651,2015,"M06_1","WONG WAI SHUN"
"M06","YUEN LUNG","2","CHONG KIN SHING","362",FALSE,FALSE,362,2015,"M06_2","CHONG KIN SHING"
"M07","FUNG CHEUNG","1","MAK IP SING","2,173*",FALSE,TRUE,2173,2015,"M07_1","MAK IP SING"
"M07","FUNG CHEUNG","2","YU CHUNG LEUNG","1,425",FALSE,FALSE,1425,2015,"M07_2","YU CHUNG LEUNG"
"M07","FUNG CHEUNG","3","WONG WAI","163",FALSE,FALSE,163,2015,"M07_3","WONG WAI"
"M08","SHAP PAT HEUNG EAST","*","SHUM HO KIT","Uncontested",TRUE,TRUE,0,2015,"M08_*","SHUM HO KIT"
"M09","SHAP PAT HEUNG CENTRAL","*","LEUNG MING KIN","Uncontested",TRUE,TRUE,0,2015,"M09_*","LEUNG MING KIN"
"M10","SHAP PAT HEUNG WEST","*","CHING CHAN MING","Uncontested",TRUE,TRUE,0,2015,"M10_*","CHING CHAN MING"
