"ConstituencyCode","Constituency","CandidateCode","Candidate","Votes","Uncontested","elected","VotesN","Year"
"M28","天耀","1","梁志祥","1,713*",FALSE,TRUE,1713,2015
"M28","天耀","2","梁榮生(恆仔)","1,552",FALSE,FALSE,1552,2015
"M29","嘉湖南","1","吳玉英","1,724",FALSE,FALSE,1724,2015
"M29","嘉湖南","2","湛家雄","2,191*",FALSE,TRUE,2191,2015
"M30","頌<U+6822>","1","黃卓健","2,078*",FALSE,TRUE,2078,2015
"M30","頌<U+6822>","2","莫炎熙","1,380",FALSE,FALSE,1380,2015
"M31","錦<U+7D89>花園","1","杜嘉倫","1,826*",FALSE,TRUE,1826,2015
"M31","錦<U+7D89>花園","2","梁煒<U+5803>","144",FALSE,FALSE,144,2015
"M31","錦<U+7D89>花園","3","邱帶娣","1,596",FALSE,FALSE,1596,2015
"M32","新田","1","文光明","2,286*",FALSE,TRUE,2286,2015
"M32","新田","2","文貴旗","1,193",FALSE,FALSE,1193,2015
"M33","錦田","*","鄧卓然","自動當選",TRUE,TRUE,0,2015
"M34","八鄉北","1","鄧志光","1,471",FALSE,FALSE,1471,2015
"M34","八鄉北","2","鄧鎔耀","1,806*",FALSE,TRUE,1806,2015
"M35","八鄉南","1","朱凱<U+5EF8>","1,482",FALSE,FALSE,1482,2015
"M35","八鄉南","2","黎偉雄","2,872*",FALSE,TRUE,2872,2015
"N01","聯和墟","1","羅世恩","1,981",FALSE,FALSE,1981,2015
"N01","聯和墟","2","曾興隆","2,640*",FALSE,TRUE,2640,2015
"N01","聯和墟","3","劉明堅(阿堅)","413",FALSE,FALSE,413,2015
"N02","粉嶺市","1","黃晉靈","826",FALSE,FALSE,826,2015
"N02","粉嶺市","2","彭振聲","1,403*",FALSE,TRUE,1403,2015
"N03","祥華","1","葉曜丞","1,569",FALSE,FALSE,1569,2015
"N03","祥華","2","陳旭明","1,814*",FALSE,TRUE,1814,2015
"N03","祥華","3","黃嘉浩","1,710",FALSE,FALSE,1710,2015
"N03","祥華","4","阮海偉","178",FALSE,FALSE,178,2015
"N04","華都","*","姚銘","自動當選",TRUE,TRUE,0,2015
"N05","華明","1","賴心","1,814",FALSE,FALSE,1814,2015
"N05","華明","2","陳惠達","2,660*",FALSE,TRUE,2660,2015
"N06","欣盛","*","劉國勳","自動當選",TRUE,TRUE,0,2015
"N07","盛福","*","<U+6E29>和達","自動當選",TRUE,TRUE,0,2015
"N08","粉嶺南","1","何樹光","1,824*",FALSE,TRUE,1824,2015
"N08","粉嶺南","2","黃成智","992",FALSE,FALSE,992,2015
"N09","清河","*","藍偉良","自動當選",TRUE,TRUE,0,2015
"N10","御太","1","曾勁聰","1,922*",FALSE,TRUE,1922,2015
"N10","御太","2","石房有","326",FALSE,FALSE,326,2015
"N10","御太","3","侯榮光","672",FALSE,FALSE,672,2015
"N11","上水鄉郊","1","侯金林","2,474",FALSE,FALSE,2474,2015
"N11","上水鄉郊","2","侯福達","2,934*",FALSE,TRUE,2934,2015
"N12","彩園","1","蘇西智","2,481*",FALSE,TRUE,2481,2015
"N12","彩園","2","梁金成","1,975",FALSE,FALSE,1975,2015
"N13","石湖墟","1","劉匡健","90",FALSE,FALSE,90,2015
"N13","石湖墟","2","王潤強","1,760",FALSE,FALSE,1760,2015
"N13","石湖墟","3","林卓廷","2,390*",FALSE,TRUE,2390,2015
"N14","天平西","1","潘德榮","1,445",FALSE,FALSE,1445,2015
"N14","天平西","2","黃宏滔","2,219*",FALSE,TRUE,2219,2015
"N14","天平西","3","李政熙","797",FALSE,FALSE,797,2015
"N15","鳳翠","1","余萬光","981",FALSE,FALSE,981,2015
"N15","鳳翠","2","廖國華","1,460",FALSE,FALSE,1460,2015
"N15","鳳翠","3","廖興洪","1,649*",FALSE,TRUE,1649,2015
